Repo Name,Description
Interviewer,A Python-based audio segmentation tool that extracts individual questions from an MP3 audio file using timestamp-based JSON data.
EWITW,A Python-based combinatorial generator that creates infinite CSV libraries containing all possible character sequences.
AutoDiscovery,A Python-based multi-agent autonomous research platform that transforms user queries into structured documentation using Google Gemini API and parallel agent collaboration.
likho,"A Next.js-based handwriting generator that converts text into realistic, customizable SVG outputs using an in-browser recurrent neural network with adjustable parameters."
AgeSci,AgeSci is an autonomous multi-agent system leveraging LLMs via Ollama to generate IEEE-format academic papers with integrated citations and LaTeX compilation.
Articles,An AI-focused repository that hosts Medium-published articles detailing various implementation projects and tutorials on artificial intelligence.
Sira,A Python-based conversational AI agent that leverages FAISS and sentence embeddings for persistent memory management and generates context-aware responses using Google's Gemini API.
Orbit,A static HTML-based website that challenges users to win through orbital mechanics.
Idaten_Jump,A static HTML-based encyclopedia that compiles fan-generated media assets and content for the Idaten Jump series.
spellcheck,A Rust-based spell checker that implements Peter Norvig's statistical algorithm for spell correction using n-grams.
is_shree_alive,A static HTML website that serves a minimal page with an embedded image asset.
maze,A HTML-based maze game that dynamically renders interactive pathways for browser navigation.
Hivemind,A Python-based multi-agent AI research system that collaborates through specialized agents to autonomously generate LaTeX-formatted research papers with TikZ diagrams and web search integration.
harp,"A Rust-based grammar checker that delivers instant, private syntax verification through WebAssembly-optimized processing."
500_NodeJs_Interview_Questions,A Streamlit-based Python application that dynamically explores 500 Node.js interview questions through category filtering and search functionality.
Universal_Paperclips_Auto,A Python-based Selenium automation bot that automates Paperclip trading interactions in a browser-based game.
BookVaccum,A Python-based book downloader that systematically retrieves Project Gutenberg eBooks in bulk using requests and tqdm progress tracking.
Last_Tea_Shop_Web,A Tailwind CSS-based static website that provides interactive dice rollers and downloadable character sheets for tabletop RPG sessions.
blush,A Streamlit-based skin tone analyzer that recommends personalized blush colors based on facial analysis using OpenCV and clustering algorithms.
tetrisAI,A JavaScript-based Tetris game that uses AI to dynamically optimize piece placement strategies for enhanced gameplay.
humanize-ai,A React-based text humanization platform that generates natural-sounding sentence alternatives with Supabase authentication and Stripe payment integration.
ConvergenceEngine,Analysis failed.
Isabella,A Python-based AI interviewer that conducts interactive interviews for job candidates using natural language processing.
Around_Us,A Cesium-powered web-based flight simulator that enables real-time 3D globe navigation with photorealistic terrain and building models for immersive flight exploration.
